id,track_name,artist_names,source,release_date,duration,peak_rank,previous_rank,days_on_chart,rank,streams
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,Syco Music,2014-11-17,227,113,184,14,120,2033502358
19CSr8rwW05VJL2F91KFNK,ivy,Taylor Swift,Taylor Swift,2021-03-26,138,84,161,5,121,2030459097
2g9jxHI2KqSS1MRwS7e95x,Chắc Ai Đó Sẽ Về,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2021-03-31,138,98,193,16,122,2030459097
1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,Columbia,2021-09-17,138,18,162,295,123,2030459097
46JuEtCV69InGm7hONKrgA,INTRO: Neo Got My Back,"NCT, NCT U",SM Entertainment,2014-01-01,232,168,-1,1,124,2028798660
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,Universal Republic Records,2018-03-30,228,2,154,81,125,2027919097
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,BIGHIT MUSIC,2020-11-20,199,1,10,970,126,2027218559
1Huy9G87D6pbIveFulsH0P,Âm Thầm Bên Em,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2020-08-28,199,29,74,1059,127,2027218559
79jX8RM5CgPqDKdGEKNW9K,In My Blood,Shawn Mendes,Island Records,2018-03-29,228,3,44,55,128,2026953590
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,Atlantic Records UK,2014-01-01,177,61,141,181,129,2023423856
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,"Marshmello, Demi Lovato",Joytime Collective,2020-07-24,141,65,170,34,130,2021838638
5Ojsg9xR0wlTpDIW1qLYz2,Đom Đóm,Jack - J97,Nomad Mgmt Vietnam,2021-03-26,141,5,151,219,131,2021838638
2wVDWtLKXunswWecARNILj,SOLO,JENNIE,YG Entertainment,2018-11-03,207,1,140,842,132,2003719303
2XWjPtKdi5sucFYtVav07d,365,"Zedd, Katy Perry",Interscope Records,2019-02-08,207,4,-1,107,133,2003719303
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",Parlophone UK,2022-08-26,175,133,145,12,134,2000190304
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,Island Records,2024-08-23,175,9,-1,223,135,1987402446
1lsBTdE6MGsKeZCD6llNu7,Done for Me (feat. Kehlani),"Charlie Puth, Kehlani",Artist Partner,2018-05-11,209,3,-1,109,136,1984798109
1LQn7eHlYpkxyUxtts8JlC,Bài Hát Của Em,Uyên Linh,Yin Yang Media,2017-04-20,211,58,86,2,137,1984798109
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Island Records,2024-04-12,175,9,108,150,138,1984027311
7uuEfUMuPeQ7RlSWa0cES2,Can't Help Falling In Love,Kina Grannis,WaterTower Music,2018-05-31,197,39,127,64,139,1969642945
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Interscope,2024-08-16,252,4,23,169,140,1955875965
1vtQjPCcdE7FgrxQd5doWP,Sao Cũng Được,Binz,Spacespeakers,2020-03-20,198,92,-1,261,141,1955138645
0ifrzLr6KZEas3V3DEZV6P,GIẢ VỜ,Ngọt,Ngọt,2019-10-04,176,27,97,22,142,1950145132
